"","Management","Area","Order","Family","Genus","Species","Model","Meeting_or_reference","Case","Notes","Stock","G.short","G.Species","Manage.short","LME","Area.broad","Area.long","Area.narrow","Stock.short","Stock.no.species"
"AFSC_GOA_Theragra_chalcogramma","AFSC","GOA","Gadiformes","Gadidae","Theragra","chalcogramma","age-structured assessment model (ADMB)","Francis 2011 Fournier and Archibald 1982 Deriso et al 1985 Hilborn and Walters 1992",NA,"Catch-at-age is estimated and is in millions. Total catch included discards","AFSC_GOA_Theragra_chalcogramma","T.","T. chalcogramma","AFSC","Pacific (Alaska)","GOA","Gulf of Alaska","","Gulf of Alaska  T. chalcogramma","Gulf of Alaska "
"CERT-TRAC_GB_Melanogrammus_Aeglefinus","CERT-TRAC","GB","Gadiformes","Gadide","Melanogrammus","aeglefinus","ADAPT VPA","Gavaris 1988 Gavaris and Van Eeckhoute 1998",NA,"Includes discards. In thousands. Catch.9 is 9+","CERT-TRAC_GB_Melanogrammus_Aeglefinus","M.","M. aeglefinus","DFO-TRAC","NW Atlantic","GOM-GB","Georges Bank","","Georges Bank  M. aeglefinus","Georges Bank "
"DFO_2J3KL_Gadus_morhua","DFO","2J3KL","Gadiformes","Gadidae","Gadus","morhua","NCAM","Cadigan 2015 2016",NA,"","DFO_2J3KL_Gadus_morhua","G.","G. morhua","DFO-TRAC","NW Atlantic","NFLD","NFLD","2J 3KL","NFLD 2J 3KL G. morhua","NFLD 2J 3KL"
"DFO_3Pn-4RS_Gadus_morhua","DFO","3Pn-4RS","Gadiformes","Gadidae","Gadus","morhua","sequential population analysis (SPA) was conducted using the ADAPT NFT program (VPA/ADAPT version 3.4.5 NOAA Fisheries Toolbox 2014)","https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40759520.pdf",NA,"Commercial fisheries catch-at-age (000's). Commercial only","DFO_3Pn-4RS_Gadus_morhua","G.","G. morhua","DFO-TRAC","NW Atlantic","NFLD","NFLD","3Pn 4RS","NFLD 3Pn 4RS G. morhua","NFLD 3Pn 4RS"
"DFO_4T-4VN_Gadus_morhua","DFO","4T-4VN","Gadiformes","Gadidae","Gadus","morhua","SCA used in 2019 but previously used VPA","Swain et al. 2015b",NA,"Catch.12 is 12+. Landings at age (numbers 1000s) of southern Gulf of St. Lawrence Atlantic Cod 1971 to 2018. The table includes landings in 4T 4Vn (Nov.-Apr.) and 4Vs (Jan.-Apr.). Data for 2017 and 2018 are preliminary. Calculated using keys. Includes discards and multiple fleets","DFO_4T-4VN_Gadus_morhua","G.","G. morhua","DFO-TRAC","NW Atlantic","GSL","NAFO 4T","","NAFO 4T  G. morhua","NAFO 4T "
"DFO_4T-Fall_Clupea_harengus","DFO","4T-Fall","Clupeiformes","Clupeidae","Clupea","harengus","spawner component assessment (qSCA and qmSCA)","Turcotte et al. 2020 Fournier et al. 2012",NA,"Fall spawner catch-at-age for 4T herring fishery all gears. It is in thousands. Discards are not estimated. Catch.11 is 11+. Table 32","DFO_4T-Fall_Clupea_harengus","C.","C. harengus","DFO-TRAC","NW Atlantic","GSL","NAFO 4T","Fall","NAFO 4T Fall C. harengus","NAFO 4T Fall"
"DFO_4T-Spring_Clupea_harengus","DFO","4T-Spring","Clupeiformes","Clupeidae","Clupea","harengus","spawner component assessment","Fournier et al. 2012",NA,"Spring spawner catch-at-age for 4T herring fishery all gears combined. In thousands. Discards are not estimated. Catch.11 is 11+. Table 16","DFO_4T-Spring_Clupea_harengus","C.","C. harengus","DFO-TRAC","NW Atlantic","GSL","NAFO 4T","Spring","NAFO 4T Spring C. harengus","NAFO 4T Spring"
"DFO_4T_Hippoglossoides _platessoides","DFO","4T","Pleuronectiformes","Pleuronectidae","Hippoglossoides ","platessoides","VPA","Hillborn and Walters 1992",NA,"FK changed catch data from survey catch-at-age (table 3) to fishery (table 2 includes both discards and landings). Estimated numbers caught at age (thousands) of 4T American plaice (landings + estimated discarded catch-at-age).","DFO_4T_Hippoglossoides _platessoides","H.","H. platessoides","DFO-TRAC","NW Atlantic","GSL","NAFO 4T","","NAFO 4T  H. platessoides","NAFO 4T "
"DFO_4T_Scomber_scombrus","DFO","4T","Scombriformes","Scombridae","Scomber","scombrus","No model as of 2012. Censored statistical catch-at-age model (CCAM) introduced in 2017.","Van Beveren et al. 2017",NA,"Commercial catch at age in thousands in subareas 3 and 4 for years up to 2012","DFO_4T_Scomber_scombrus","S.","S. scombrus","DFO-TRAC","NW Atlantic","GSL","NAFO 4T","","NAFO 4T  S. scombrus","NAFO 4T "
"ICES-AFWG_NEA1-2_Gadus_morhua","ICES-AFWG","NEA1-2","Gadiformes","Gadidae","Gadus","morhua","SAM","IBP cod 2017","","Catch.15 is 15+","ICES-AFWG_NEA1-2_Gadus_morhua","G.","G. morhua","ICES","NE Atlantic","NEA","NE Arctic","","NE Arctic  G. morhua","NE Arctic "
